Loid	speaks	Ah! My lonely vigil is over. Follow me, Tenno, and on no account wake the family! Despite their conflicts they sleep in peace, but a solitary dream plagues me.
Loid	speaks	You must understand: constructs CANNOT dream. And yet, I have.
Loid	speaks	In my dream, one single name repeats. KALYMOS
Loid	speaks	(GASP)
Loid	speaks	The memories surface, long locked away. This was no dream, Tenno. It was a precept. The Kalymos Sequence.
Loid	speaks	I must fulfill this dormant precept. The Kalymos Sequence has begun, and it cannot be undone.
Loid	speaks	I have one responsibility in the Kalymos Sequence: Awaken the Sleeper. But I cannot do it alone. Please, assist me once more?
Loid	speaks	I fear we are off the edge of the map, and into the domain of monsters. Master Entrati never completed his final project: the VESSELS. The Sequence dictates they cannot awaken before the Sleeper does.
Loid	speaks	Do you hear that? Let us hope The Sleeper is untroubled by such... strangeness. Find them.
Loid	speaks	Necramechs. Poor, abandoned things. Still faithfully following Master Entrati's last command, to defend. Show mercy, Tenno. End them.
Loid	speaks	Master Entrati called it the Voidtongue. He feared it was meaningless... and feared more that it was not.
Loid	speaks	There! That book was like a diary to Master Entrati, his grimoire! No doubt it holds the secrets of the Vessels, and of the Kalymos Sequence! Take it, Tenno!
Loid	speaks	The grimoire is very... active. It is... reading ... you!
Loid	speaks	I confess it galls me slightly to see a compendium of knowledge used as a weapon, but needs must. We need be in no doubt of your skill, at any rate.
Loid	speaks	A monstrous danger, these labs. Better off sealed. We can only hope The Sleeper has been untouched by this vast horror. This great Indifference.
Loid	speaks	I ask too much of you, Tenno. These horrors must be stopped!
Loid	speaks	If these fragments were to unite... Destroy them swiftly, Tenno!
Loid	speaks	Right. Onward.
Automated Announcer	speaks	(Subway chimes) The next train is arriving. Doors are on the right.
Loid	speaks	A trap? Master Entrati jealously protected his most adored possessions - be they objects... or people. Come. The Sleeper awaits.
Loid	speaks	This is, well, Loid. The original. All emotional centers very much intact. Did you have a good sleep?
Loid (Original)	speaks	Ah. The 'helpful' Necraloid my Albrecht had made, so that I might have assistance... and company. Perhaps that made it... easier for him to leave.
Loid (Original)	speaks	Resume your duties, construct.
Loid	speaks	"Resume your duties, construct."
Loid (Original)	speaks	Please, follow me, uh...
Loid	speaks	This is a Tenno. An orphan of the Void, continuing the struggle our Master abandoned.
